Date,Time,Time Zone,Network,Local,Cover %,Program Aired,CreativeID,CreativeName,CreativeLength,Air Type,Spend
11/30/2019, 2:30 AM,Eastern ,ADSL ,LOCAL,20,FOOD WARS                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/30/2019, 3:00 AM,Eastern ,ADSL ,LOCAL,20,FOOD WARS                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,21.25
11/30/2019, 4:00 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/30/2019, 4:59 AM,Eastern ,ADSL ,LOCAL,20,BALLMASTRZ: 9009              ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,21.25
11/30/2019, 5:28 AM,Eastern ,ADSL ,LOCAL,20,BOBS BURGERS                  ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,21.25
11/30/2019, 5:30 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/30/2019, 5:58 AM,Eastern ,ADSL ,LOCAL,20,SAMURAI JACK                  ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,21.25
11/30/2019, 6:27 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/30/2019, 7:59 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/30/2019, 8:27 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
12/1/2019,12:30 AM,Eastern ,ADSL ,LOCAL,20,ROBOT CHICKEN                 ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
12/1/2019, 1:59 AM,Eastern ,ADSL ,LOCAL,20,FAMILY GUY                    ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
12/1/2019, 2:27 AM,Eastern ,ADSL ,LOCAL,20,FAMILY GUY                    ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
12/1/2019, 3:29 AM,Eastern ,ADSL ,LOCAL,20,RICK & MORTY                  ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,21.25
12/1/2019, 3:30 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
12/1/2019, 4:59 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
12/1/2019, 5:27 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
12/1/2019, 5:28 AM,Eastern ,ADSL ,LOCAL,20,AQUA TEEN HUNGERFORCE         ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,21.25
12/1/2019, 5:58 AM,Eastern ,ADSL ,LOCAL,20,HOME MOVIES                   ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,21.25
12/1/2019, 6:00 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
12/1/2019, 7:59 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
12/1/2019, 8:28 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
12/1/2019, 8:58 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/25/2019, 1:46 AM,Eastern ,AMC  ,     ,0,AMC MOVIE                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/25/2019, 2:18 AM,Eastern ,AMC  ,     ,0,AMC MOVIE                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/25/2019, 4:46 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/25/2019, 5:18 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/26/2019, 2:10 AM,Eastern ,AMC  ,     ,0,AMC MOVIE                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/26/2019, 3:13 AM,Eastern ,AMC  ,     ,0,AMC MOVIE                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/26/2019, 5:10 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/27/2019, 2:22 AM,Eastern ,AMC  ,     ,0,AMC MOVIE                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/27/2019, 3:34 AM,Eastern ,AMC  ,     ,0,AMC MOVIE                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/27/2019, 5:22 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/27/2019, 6:13 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/28/2019, 2:30 AM,Eastern ,AMC  ,     ,0,AMC MOVIE                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/28/2019, 4:56 AM,Eastern ,AMC  ,     ,0,AMC MOVIE                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/28/2019, 5:30 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/28/2019, 6:34 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/29/2019, 1:39 AM,Eastern ,AMC  ,     ,0,AMC MOVIE                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/29/2019, 4:35 AM,Eastern ,AMC  ,     ,0,AMC MOVIE                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/29/2019, 4:39 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/29/2019, 7:56 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/30/2019, 2:46 AM,Eastern ,AMC  ,     ,0,RANKIN-BASS WEEKEND           ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/30/2019, 4:35 AM,Eastern ,AMC  ,     ,0,RANKIN-BASS WEEKEND           ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,85
11/30/2019, 5:46 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/30/2019, 7:35 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
12/1/2019, 7:35 AM,Eastern ,AMC  ,     ,0,Dual Feed                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/25/2019,11:19 AM,Eastern ,BABY ,     ,0,PLAY TIME WITH AL             ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/25/2019,11:58 AM,Eastern ,BABY ,     ,0,PLAY TIME WITH AL             ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/25/2019,12:37 PM,Eastern ,BABY ,     ,0,BF FAVORITES DAILY            ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/25/2019, 4:18 PM,Eastern ,BABY ,     ,0,MAMA & ME TOT SCHOOL          ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/25/2019, 5:18 PM,Eastern ,BABY ,     ,0,BABY FIRST CLUB               ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/25/2019, 5:42 PM,Eastern ,BABY ,     ,0,BABY FIRST CLUB               ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/26/2019, 1:59 PM,Eastern ,BABY ,     ,0,ART AND MUSIC                 ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/26/2019, 2:23 PM,Eastern ,BABY ,     ,0,DEVELOPMENTAL PROGRAMS        ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/26/2019, 3:21 PM,Eastern ,BABY ,     ,0,MAMA & ME FUN TIME            ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/26/2019, 3:59 PM,Eastern ,BABY ,     ,0,MAMA & ME SING A LONG         ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/26/2019, 4:19 PM,Eastern ,BABY ,     ,0,MAMA & ME TOT SCHOOL          ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/26/2019, 4:42 PM,Eastern ,BABY ,     ,0,DEVELOPMENTAL PROGRAMS        ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/26/2019, 5:18 PM,Eastern ,BABY ,     ,0,BABY FIRST CLUB               ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/26/2019, 5:43 PM,Eastern ,BABY ,     ,0,BABY FIRST CLUB               ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/29/2019, 9:20 AM,Eastern ,BABY ,     ,0,BREAKFAST CLUB                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/29/2019, 9:59 AM,Eastern ,BABY ,     ,0,BREAKFAST CLUB                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/29/2019,10:59 AM,Eastern ,BABY ,     ,0,BREAKFAST CLUB                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/29/2019, 6:21 PM,Eastern ,BABY ,     ,0,BABY FIRST CLUB               ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/29/2019, 6:59 PM,Eastern ,BABY ,     ,0,BABY FIRST CLUB               ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/29/2019, 7:20 PM,Eastern ,BABY ,     ,0,PLAY TIME WITH AL             ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/29/2019, 7:39 PM,Eastern ,BABY ,     ,0,PLAY TIME WITH AL             ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/29/2019, 7:59 PM,Eastern ,BABY ,     ,0,PLAY TIME WITH AL             ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/25/2019,12:37 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/25/2019, 1:45 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/25/2019, 2:50 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/25/2019, 8:50 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/25/2019, 9:12 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/25/2019, 9:43 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/25/2019,10:17 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/26/2019,12:25 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/26/2019, 2:11 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/26/2019, 2:49 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/26/2019, 8:15 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/26/2019,10:34 PM,Eastern ,BETJ ,     ,0,TIMBALAND TUESDAY             ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/26/2019,11:46 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/27/2019,12:09 AM,Eastern ,BETJ ,     ,0,SLOW JAMS                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/27/2019,12:46 AM,Eastern ,BETJ ,     ,0,SLOW JAMS                     ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/27/2019, 1:23 AM,Eastern ,BETJ ,     ,0,WEST COAST WEDNESDAY          ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/28/2019,12:47 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/28/2019, 2:15 AM,Eastern ,BETJ ,     ,0,THROWBACK THURSDAY            ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/28/2019, 2:48 AM,Eastern ,BETJ ,     ,0,THROWBACK THURSDAY            ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/28/2019, 8:29 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/28/2019,10:12 PM,Eastern ,BETJ ,     ,0,THROWBACK THURSDAY            ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/28/2019,11:49 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/29/2019,12:14 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/29/2019, 1:30 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/29/2019, 2:14 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/29/2019, 8:11 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/29/2019, 9:47 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/29/2019,11:15 PM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,6.8
11/30/2019,12:48 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
11/30/2019, 1:47 AM,Eastern ,BETJ ,     ,0,MUSIC PLAYLIST                ,RRFALL15H    ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,4.25
