Date,Time,TimeZone,Network,RealRealAdType,ProgramAired,CreativeID,CreativeName,CreativeLength,AirType,Spend,CoverPct
10/19/2020,2:12 AM,Eastern,USA,National,DATELINE,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,170.00,0
10/19/2020,2:21 AM,Eastern,USA,National,DATELINE,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,170.00,0
10/19/2020,3:13 AM,Eastern,HLN,National,FORENSIC FILES,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,68.00,0
10/19/2020,3:22 AM,Eastern,USA,National,DATELINE,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,85.00,0
10/19/2020,3:25 AM,Eastern,ENT,National,BRADSHAW BUNCH  THE,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,170.00,0
10/19/2020,3:37 AM,Eastern,IFC,National,PARKS AND RECREATION,RRFWV3MN15H,TRR_F/W_2020_MENS_15_V3_SELL,15,Cable,21.25,0
10/19/2020,3:42 AM,Eastern,AMC,National,SOULMATES,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,55.25,0
10/19/2020,3:51 AM,Eastern,HLN,National,FORENSIC FILES,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,68.00,0
10/19/2020,4:16 AM,Eastern,HLN,National,FORENSIC FILES,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,68.00,0
10/19/2020,4:21 AM,Eastern,USA,National,DATELINE,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,85.00,0
10/19/2020,4:33 AM,Eastern,TBSC,National,2 BROKE GIRLS,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,212.50,0
10/19/2020,4:35 AM,Eastern,HLN,National,FORENSIC FILES,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,68.00,0
10/19/2020,4:50 AM,Eastern,IFC,National,PARKS AND RECREATION,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,21.25,0
10/19/2020,4:52 AM,Eastern,HLN,National,FORENSIC FILES,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,68.00,0
10/19/2020,4:58 AM,Eastern,IFC,National,PARKS AND RECREATION,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,21.25,0
10/19/2020,5:40 AM,Eastern,TBSC,National,FAMILY MATTERS,RRFWV330H,TRR_F/W_2020_30_V3_SELL,30,Cable,212.50,0
10/19/2020,5:40 AM,Eastern,TNT,National,BONES,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,212.50,0
10/19/2020,5:44 AM,Eastern,AMC,National,AMC FEARFEST,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,55.25,0
10/19/2020,9:46 AM,Eastern,IFC,National,IFC MOVIE,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,93.50,0
10/19/2020,12:10 PM,Eastern,TRU,National,WORLDS DUMBEST,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,255.00,0
10/19/2020,12:21 PM,Eastern,HLN,National,HOW IT REALLY HAPPENED,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,255.00,0
10/19/2020,12:42 PM,Eastern,IFC,National,IFC MOVIE,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,93.50,0
10/19/2020,1:08 PM,Eastern,TRU,National,WORLDS DUMBEST,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,255.00,0
10/19/2020,1:20 PM,Eastern,HLN,National,HOW IT REALLY HAPPENED,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,255.00,0
