Date,Time,TimeZone,Network,RealRealAdType,ProgramAired,CreativeID,CreativeName,CreativeLength,AirType,Spend,CoverPct
12/28/2020,4:08 AM,Eastern,HLN,National,FORENSIC FILES,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,59.50,0
12/28/2020,4:48 AM,Eastern,TBSC,National,BROOKLYN NINE-NINE,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,170.00,0
12/28/2020,8:08 AM,Eastern,BRV,national_local,SOUTHERN CHARM,RRFWV130LH,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,93.50,20
12/28/2020,8:32 AM,Eastern,BRV,national_local,SOUTHERN CHARM,RRFWV130LH,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,93.50,20
12/28/2020,9:10 AM,Eastern,BRV,national_local,SOUTHERN CHARM,RRV388830LH,TRR_F/W_2020_30_REV_V3_888_SELL,30,Cable,93.50,20
12/28/2020,9:20 AM,Eastern,IFC,National,PARKS AND RECREATION,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,76.50,0
12/28/2020,9:34 AM,Eastern,BRV,national_local,SOUTHERN CHARM,RRFWV130LH,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,93.50,20
12/28/2020,11:07 AM,Eastern,IFC,National,COMMUNITY,RRV388815H,TRR_F/W_2020_15_REV_V3_888_SELL,15,Cable,76.50,0
12/28/2020,11:48 AM,Eastern,BET,National,BOBBY BROWN STORY  THE,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,297.50,0
12/28/2020,11:48 AM,Eastern,MSNBC,National,MSNBC LIVE W/ C.MELVIN,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,"1,147.50",0
12/28/2020,12:17 PM,Eastern,BET,National,BOBBY BROWN STORY  THE,RRV388815H,TRR_F/W_2020_15_REV_V3_888_SELL,15,Cable,297.50,0
12/28/2020,1:16 PM,Eastern,HLN,National,VENGEANCE: KILLER CWRKRS,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,221.00,0
12/28/2020,2:39 PM,Eastern,HLN,National,VENGEANCE: KILLER CWRKRS,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,221.00,0
12/28/2020,3:07 PM,Eastern,HLN,National,VENGEANCE: KILLER CWRKRS,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,221.00,0
12/28/2020,5:46 PM,Eastern,AMC,National,AMC MOVIE,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,510.00,0
12/28/2020,6:28 PM,Eastern,AMC,National,FRED CLAUS,RRV388815H,TRR_F/W_2020_15_REV_V3_888_SELL,15,Cable,"1,062.50",0
12/28/2020,9:02 PM,Eastern,IFC,National,TWO AND A HALF MEN,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,297.50,0
12/28/2020,9:26 PM,Eastern,IFC,National,TWO AND A HALF MEN,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,297.50,0
12/28/2020,11:35 PM,Eastern,NMX,National,STINCHFIELD,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,148.75,0
12/29/2020,12:41 AM,Eastern,AMC,National,MY COUSIN VINNIE,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,"1,062.50",0
12/29/2020,4:33 AM,Eastern,WE,National,LOVE AFTER LOCKUP,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,110.50,0
12/29/2020,5:13 AM,Eastern,HLN,National,FORENSIC FILES,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,59.50,0
12/29/2020,5:35 AM,Eastern,HLN,National,FORENSIC FILES,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,59.50,0
12/29/2020,10:27 AM,Eastern,HLN,National,MORNING EXPRESS W/ MEADE,RRV388815H,TRR_F/W_2020_15_REV_V3_888_SELL,15,Cable,221.00,0
12/29/2020,10:58 AM,Eastern,HLN,National,MORNING EXPRESS W/ MEADE,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,221.00,0
12/29/2020,12:08 PM,Eastern,BET,National,BET MOVIE OF THE WEEK,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,297.50,0
12/29/2020,1:47 PM,Eastern,BET,National,BET MOVIE OF THE WEEK,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,297.50,0
12/29/2020,7:50 PM,Eastern,BHER,National,OVAL  THE,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,59.50,0
12/29/2020,7:56 PM,Eastern,BRV,national_local,BRAVO MOVIE,RRFWV130LH,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,161.50,20
12/29/2020,8:48 PM,Eastern,BRV,national_local,BRAVO MOVIE,RRFWV130LH,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,161.50,20
12/29/2020,9:48 PM,Eastern,IFC,National,IFC MOVIE,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,297.50,0
12/29/2020,10:28 PM,Eastern,NMX,National,ROB SCHMITT TONIGHT,RRV388815H,TRR_F/W_2020_15_REV_V3_888_SELL,15,Cable,148.75,0
12/29/2020,11:13 PM,Eastern,BHER,National,SOUL TRAIN AWARDS,RRV388815H,TRR_F/W_2020_15_REV_V3_888_SELL,15,Cable,59.50,0
12/30/2020,12:14 AM,Eastern,AMC,National,GODFATHER MARATHON  THE,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,"1,062.50",0
12/30/2020,2:20 AM,Eastern,AMC,National,GODFATHER MARATHON  THE,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,63.75,0
12/30/2020,3:25 AM,Eastern,SUND,National,PERRY MASON,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,51.00,0
12/30/2020,4:12 AM,Eastern,AMC,National,GODFATHER MARATHON  THE,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,63.75,0
