Row Labels,Sum of Spend
AMC,6345.25
BET,5355
BRV,5971.25
CI,612.85
CNN,10030
ENN,2613.75
ENT,9613.5
ESP2,1190
FRFM,1275
HALL,1402.5
HLN,8177
ID,2482
IFC,4607
IPLUS,2193
LMN,11475
MSN,3459.5
NEWSY,299.2
NGC,637.5
NMX,1134.75
PAR,4505
SECN,1564
SUND,501.5
TBSC,2125
TNT,2125
TRU,3952.5
USA,1020
VH1,4335
VICE,2380
WE,688.5
Grand Total,102070.55
