,network,impressions,impression_share,spend,spend_share,imp/spend,CPM
0,MSNBC,9425664,40.69149866,5627,8.94933218,4.546875437,0.119397424
1,IFC,298832,1.290086505,382.5,0.60833829,2.120672866,0.25599668
2,AMC,530249,2.289135967,850,1.351862867,1.693319657,0.320604094
3,Bravo,3204368,13.83356506,5191.8,8.257178392,1.67533804,0.324045178
4,WE tv,531419,2.294186969,892.5,1.41945601,1.616243795,0.335893146
5,Oxygen,946376,4.085596276,2108,3.35261991,1.218627934,0.445488897
6,HLN,1698758,7.333701783,3965.25,6.306440275,1.162890865,0.466841069
7,BET Jams,68038,0.293726594,165.75,0.263613259,1.114233007,0.487227726
8,SundanceTV,98028,0.423196311,255,0.40555886,1.04348925,0.520259518
9,VICELAND,201594,0.8703007,552.5,0.878710864,0.990428976,0.548131393
10,Investigation Discovery,1236244,5.33698433,3476.5,5.529119126,0.965250379,0.562429423
11,USA Network,685691,2.960194041,2486.25,3.954198886,0.748620423,0.725180876
12,TNT,399211,1.723432309,1530,2.433353161,0.708254082,0.766511945
13,NEWSMAX,83844,0.361962618,382.5,0.60833829,0.595002194,0.912408759
14,FOX,256644,1.107956849,1360,2.162980587,0.51223615,1.059833855
15,E!,1381897,5.96578235,7735,12.30195209,0.484945991,1.119475619
16,REELZChannel,44395,0.191657488,255,0.40555886,0.472576256,1.148778016
17,VH1,651685,2.813386866,5057.5,8.043584059,0.349767821,1.552130247
18,Cartoon Network,203781,0.87974219,2146.25,3.413453739,0.257727878,2.106427979
19,Hallmark Channel,562458,2.42818532,5950,9.463040069,0.256596749,2.115713529
20,BET Her,53685,0.231763312,748,1.189639323,0.194818133,2.786625687
21,Fuse TV,50439,0.217750018,782,1.243713838,0.175080481,3.100775194
22,Hallmark Movies & Mysteries,260902,1.126339045,4250,6.759314335,0.166635104,3.257928264
23,History Channel En Español,43257,0.186744632,731,1.162602066,0.160626441,3.379799801
24,Lifetime Real Women,18815,0.081226166,504.9,0.803006543,0.101152558,5.366994419
25,Revolt,24356,0.105147196,816,1.297788352,0.081020296,6.700607653
26,CW,48737,0.21040232,850,2.703725734,0.077819402,6.9762193
27,ABC,42691,0.184301156,2125,3.379657168,0.0545325,9.955259891
28,Independent TV,8630,0.037256541,850,1.351862867,0.027559408,19.69872538
29,CBS,27069,0.116859478,0,0,,0
30,MyNetworkTV,15957,0.068887905,0,0,,0
31,PBS,843,0.003639312,0,0,,0
32,NBC,59161,0.255403731,0,0,,0
