network,spend,spend_share,impressions,impression_share,imp/spend
MSNBC,1515,1.978504172,3042697,16.57461474,8.377346365
IFC,1100,1.436537683,303864,1.655251487,1.152250655
NEWSMAX,925,1.207997597,102819,0.560090378,0.463651897
MyNetworkTV,1039,1.356875139,32064,0.174663612,0.128724896
Cartoon Network,3651,4.767999164,138863,0.756434415,0.158648185
CNN en Español,811,1.059120055,28738,0.156545748,0.147807368
AMC,6460,8.436394029,919372,5.00813479,0.593634528
VH1,609,0.795319499,188536,1.027020293,1.291330458
National Geographic,850,1.110051846,531622,2.895927474,2.608821817
TV One,1207,1.576273621,76032,0.414172396,0.262754125
NBC,2774,3.622686848,412985,2.249671021,0.620995166
WHDH,332,0.433573192,15240,0.08301751,0.191472885
CBS,645,0.84233346,166493,0.906944507,1.076704833
TBS,1530,1.998093323,231486,1.260983682,0.631093487
FXX,1190,1.554072584,56439,0.307442602,0.197830272
ABC,5585,7.2936936,416343,2.2679632,0.310948516
USA Network,2380,3.108145169,1021953,5.5669287,1.791077443
HLN,4161,5.434030272,1330252,7.246339154,1.333511002
SundanceTV,510,0.666031108,339548,1.849634481,2.777099237
Oxygen,3586,4.683112847,2225561,12.12339452,2.588747041
FOX,4340,5.667794131,249225,1.357614103,0.239531301
REELZChannel,840,1.096992412,100236,0.546019891,0.497742632
FOX Business,2460,3.212620637,385360,2.099188166,0.65341925
TNT,1530,1.998093323,323522,1.762335359,0.882008532
E!,3178,4.150287961,1657045,9.026492772,2.174907587
Bloomberg Business Television,1332,1.73951654,23237,0.126579913,0.072767295
BET Jams,150,0.195891502,66887,0.364356443,1.859991061
Investigation Discovery,1981,2.587073773,801316,4.365043244,1.687251168
WGN America,2015,2.631475847,159133,0.866852062,0.329416689
truTV,1692,2.209656145,394380,2.148323202,0.972243218
Bravo,3642,4.756245674,1743980,9.500057551,1.997385796
Freeform,3995,5.217243676,129945,0.707855009,0.135676049
Laff TV,850,1.110051846,75446,0.410980253,0.370235187
Independent TV,1031,1.346427592,23584,0.128470142,0.095415559
WE tv,1270,1.658548052,562210,3.062550807,1.84652522
History Channel En Español,1020,1.332062215,58722,0.319878886,0.240138097
CW,4387,5.729173468,22438,0.122227486,0.021334227
