user_id,device,date_time,user_type,event_name,event_value,ip_address,device_id
15537891,App,2020-01-20 18:45:03,new,Purchase,0,db2f8855adec9cb3098d81c3f9e49edd874062a3,12694093859a20fc8fc985c9308cbdb245ea77e3
4616471,App,2020-01-20 17:08:54,repeat,Purchase,0,b481a00b205abbf39db0d1b6d00b1f9471eadedf,cfb5fd38ad5fb4f39c5bfaa076e3d75aad489e03
4359251,App,2020-01-20 11:18:25,repeat,Purchase,0,eb254417148b1a84bd4e62f35690fc743558ad68,91de09320ea09c49051b8d02de4979169c8f1c0c
6731645,App,2020-01-20 18:44:30,repeat,Purchase,0,554b9efd851838dfa12e36c9f6e3f8d52b204230,37932f098a4e886029fddf271a3aec32e67eac8f
274353,App,2020-01-20 06:53:55,new,Purchase,0,c5ce3ff1478e36509cebe651e7ed4a89169d7c81,31f0a0cbfeedb09592790e30b2f76c9a02658797
160758,App,2020-01-20 16:12:48,repeat,Purchase,0,7a83bfcac3a6e3bf6392d95aa54a5450d2c98a77,64923e6caeb3fb1647c85134a7b24ae7106f6438
8301269,App,2020-01-20 17:39:33,repeat,Purchase,0,55ec7fa3f2b605b1a2cd5e0e6648e8c3bb5e8323,f4b84c0c3bcefb4197c4c93e0ceab41492709ec2
4234445,App,2020-01-20 16:35:47,repeat,Purchase,0,4cbee5cce57b4a710dea175f07be22e396175f7f,1564e3f6fc1c09aeb475202a326bde427f6cc145
4537527,App,2020-01-20 07:22:48,new,Purchase,0,efb661ea00764372beeedc73ee8b1f4d3d93c9a6,57fa938f3be46a702e78c5595b23fe0572487205
3248682,App,2020-01-20 08:54:20,repeat,Purchase,0,9bd163028cc16ce4fd139ef46d3706bf607a5549,ad8d45decdc17ca21bcf153c10e358bfbcf75a48
551705,App,2020-01-20 19:36:06,repeat,Purchase,0,4755757d922879c9fd52b59a5ef6ca8433f937b9,f1d2820ab0f70d7f35cea37c3663a31268dfd406
6093174,App,2020-01-20 11:12:42,repeat,Purchase,0,94a977cdd82a23227a92e8683eb12f9878e45360,971555a6c66845b25fad53487de765bd8ffe6b92
352213,App,2020-01-20 13:50:49,repeat,Purchase,0,73d9a976ac2054e06334645f8e697134e5c5a3dc,0747bf7cabf8cd4cc99d87b34e0e08131d4a9452
2158388,App,2020-01-20 16:55:39,repeat,Purchase,0,f283a6808ff8f5b9bbc4e69fd875b52d8e61935e,3f345db2f7242cbf9802be108f3ea700f0a92cfe
3255254,App,2020-01-20 01:20:40,repeat,Purchase,0,85c0c6a333725180daff2ad36f5718f084c61ff5,2c3695fb1be6582d0ed474e80e735a2f73ba2c0a
3152139,App,2020-01-20 11:56:06,repeat,Purchase,0,4f9c6b8c5afc4ddededf7a765323cbd9ff39e5b3,f448628284d67afb2b839bfd104a230e6a8742cb
13528132,App,2020-01-20 18:35:33,repeat,Purchase,0,e12260a50255feae2cd978b52610863efb9a3ac2,3eb3fcf892e429cd7819adef675dc0d84769c2e5
4603262,App,2020-01-20 08:23:34,repeat,Purchase,0,f8a5812d32f886a67fdb7f3c20047884a125d0fd,831b5609b72e8959ac7d627f981fd8a51881aa61
3161143,App,2020-01-20 09:58:29,repeat,Purchase,0,cdaf70598e0cdb764e227715016e52d0e7f24fc6,525d57d96a2b8c78d3971820b4b47f55b0e996c7
5156856,App,2020-01-20 17:32:31,repeat,Purchase,0,7ea73c948d0e8992f3fde46f47eca438e6a1c759,e88e8e7eadd645f8d5cedd5f8ce408bf7a9afa7d
