Row Labels,Sum of Spend
TRR_F/W_2020_15_REV_V3_888_SELL,71.4
TRR_F/W_2020_15_V1_20%_OFF,67189.95
TRR_F/W_2020_30_V1_20%_OFF,76099.65
TRR_F/W_2020_HISPANIC_30_V1_20%_OFF,2728.5
TRR_F/W_2020_MENS_15_V1_20%_OFF,3017.5
Grand Total,149107
