Date,Time,TimeZone,MarketCode,MarketName,Network,Station,ProgramAired,RealRealAdType,CreativeID,CreativeName,CreativeLength,Spend
6/27/2020,5:07 PM,Local,661,San Angelo,J!WKD,KLST,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,5:07 PM,Local,619,"Springfield, MO",J!WKD,KSPR,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,5:07 PM,Local,648,Champaign & Springfield-Decatu,J!WKD,WAND,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,5:07 PM,Local,678,Wichita-Hutchinson,J!WKD,KSNG,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,5:07 PM,Local,678,Wichita-Hutchinson,J!WKD,KSNK,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,5:07 PM,Local,678,Wichita-Hutchinson,J!WKD,KSNW,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,5:07 PM,Local,627,Wichita Falls-Lawton,J!WKD,KAUZ,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,5:37 PM,Local,657,Sherman-Ada,J!WKD,KTEN,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,5:57 PM,Local,634,Amarillo,WOFWD,KVIH,ABC WORLD NEWS TONIGHT WITH DA,Syndication,RR20SPR15WFH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:05 PM,Local,790,Albuquerque,J!WKD,KBIM,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:05 PM,Local,790,Albuquerque,J!WKD,KREZ,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:05 PM,Local,790,Albuquerque,J!WKD,KRQE,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:05 PM,Local,757,Boise,J!WKD,KBOI,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:06 PM,Local,756,Billings-Hardin,J!WKD,KTVQ,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:06 PM,Local,754,Butte-Bozeman,J!WKD,KBZK,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:06 PM,Local,754,Butte-Bozeman,J!WKD,KXLF,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:06 PM,Local,602,Chicago,J!WKD,WLS,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:06 PM,Local,623,Dallas-Ft. Worth,J!WKD,KTXA,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:06 PM,Local,751,Denver,J!WKD,KDVR,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:06 PM,Local,765,El Paso,J!WKD,KDBC,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:06 PM,Local,647,Greenwood-Greenville,J!WKD,WXVT,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:06 PM,Local,631,Ottumwa-Kirksville,J!WKD,KTVO,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:06 PM,Local,624,Sioux City,J!WKD,KMEG,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:06 PM,Local,789,Tucson,J!WKD,KGUN,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:07 PM,Local,743,Anchorage,J!WKD,KJUD,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:07 PM,Local,743,Anchorage,J!WKD,KYUR,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:07 PM,Local,751,Denver,J!WKD,KFCT,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:07 PM,Local,755,Great Falls,J!WKD,KRTV,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:07 PM,Local,758,Idaho Falls-Pocatello,J!WKD,KPVI,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:07 PM,Local,617,Milwaukee,J!WKD,WDJT,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:07 PM,Local,633,Odessa-Midland,J!WKD,KMID,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:07 PM,Local,652,Omaha,J!WKD,WOWT,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:07 PM,Local,745,Fairbanks,J!WKD,KATN,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:26 PM,Local,752,Colorado Springs-Pueblo,WOFWD,KKTV,WHEEL OF FORTUNE              ,Syndication,RR20SPR15WFH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:27 PM,Local,759,Cheyenne-Scottsbluff,WOFWD,KGWN,WHEEL OF FORTUNE              ,Syndication,RR20SPR15WFH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:27 PM,Local,759,Cheyenne-Scottsbluff,WOFWD,KSTF,WHEEL OF FORTUNE              ,Syndication,RR20SPR15WFH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:27 PM,Local,717,Quincy-Hannibal,WOFWD,KHQA,WHEEL OF FORTUNE              ,Syndication,RR20SPR15WFH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:27 PM,Local,764,Rapid City,WOFWD,KHSD,TO BE ANNOUNCED               ,Syndication,RR20SPR15WFH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:27 PM,Local,764,Rapid City,WOFWD,KOTA,TO BE ANNOUNCED               ,Syndication,RR20SPR15WFH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:27 PM,Local,764,Rapid City,WOFWD,KSGW,TO BE ANNOUNCED               ,Syndication,RR20SPR15WFH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:27 PM,Local,770,Salt Lake City,WOFWD,KJZZ,WHEEL OF FORTUNE              ,Syndication,RR20SPR15WFH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:36 PM,Local,759,Cheyenne-Scottsbluff,J!WKD,KGWN,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
6/27/2020,6:36 PM,Local,752,Colorado Springs-Pueblo,J!WKD,KKTV,JEOPARDY!                     ,Syndication,RR20SPR15JPH,TRR_15_TVC_2020_SPRING,15,0
