Row Labels,Sum of Spend
TRR_F/W_2020_15_REV_V3_888_SELL,47.6
TRR_F/W_2020_15_V1_20%_OFF,64398.55
TRR_F/W_2020_30_V1_20%_OFF,37916.8
TRR_F/W_2020_HISPANIC_30_V1_20%_OFF,4377.5
TRR_F/W_2020_MENS_15_V1_20%_OFF,2570.4
Grand Total,109310.85
