Date,CreativeID,Time Zone,MarketCode,MarketName,Network,Station,Program Aired,Air Type,CreativeID,CreativeName,CreativeLength,Spend
11/28/2019, 1:21 AM,Local,5650,Tampa-St. Petersburg          ,BBGRS,W M O R -T V                  ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:22 AM,Local,3370,Kansas City                   ,BBGRS,K M C I - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:50 AM,Local,1020,Albany-Schenectady-Troy       ,BBGRS,W N Y A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,1180,Atlanta                       ,BBGRS,W U P A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,1700,Boston                        ,BBGRS,W L V I - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,1880,Charleston-Huntington         ,BBGRS,W Q C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,2220,Dallas-Ft. Worth              ,BBGRS,K D A F - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,3960,Miami-Ft. Lauderdale          ,BBGRS,W B F S - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,4090,Mobile-Pensacola              ,BBGRS,W J T C - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,4560,Paducah-Cape Girardeau-Harrisb,BBGRS,W D K A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,4720,"Portland-Auburn, ME           ",BBGRS,W P X T - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:51 AM,Local,4830,Raleigh-Durham                ,BBGRS,W R D C - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:52 AM,Local,1050,Albuquerque                   ,BBGRS,K A S Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 1:56 AM,Local,2310,Denver                        ,BBGRS,K W G N - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:20 AM,Local,1020,Albany-Schenectady-Troy       ,BBGRS,W N Y A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,1440,Baltimore                     ,BBGRS,W N U V - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,1880,Charleston-Huntington         ,BBGRS,W Q C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,2010,Cincinnati                    ,BBGRS,EKRC TV                       ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,4040,Minneapolis-St. Paul          ,BBGRS,K S T C - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,4520,Orlando-Daytona Beach-Melbourn,BBGRS,W K C F - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,4720,"Portland-Auburn, ME           ",BBGRS,W P X T - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:21 AM,Local,5630,Syracuse                      ,BBGRS,W N Y S - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:22 AM,Local,4780,Providence-New Bedford        ,BBGRS,W N A C - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:23 AM,Local,1050,Albuquerque                   ,BBGRS,K A S Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:51 AM,Local,1600,Birmingham                    ,BBGRS,W D B B - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019, 2:51 AM,Local,1600,Birmingham                    ,BBGRS,W T T O - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
